series,predicted,observed
raw occupancy × detect,0.01917070219388962,0.07581761359729043
raw occupancy × detect,0.09667501717487542,0.14557407807253314
raw occupancy × detect,0.16460564569115918,0.2201598161041182
raw occupancy × detect,0.23204997886217751,0.2900524447602502
raw occupancy × detect,0.2988833289873828,0.3527950483412074
raw occupancy × detect,0.3658863101492325,0.41374868147745436
raw occupancy × detect,0.4326913562106678,0.4663442567184488
raw occupancy × detect,0.4991243252589523,0.5217398664265522
raw occupancy × detect,0.5659033719934574,0.5736499153584138
raw occupancy × detect,0.6331147150342947,0.6259910953650031
raw occupancy × detect,0.6997744313673279,0.6723818708141935
raw occupancy × detect,0.7665668000071241,0.721314497900004
raw occupancy × detect,0.8331878882400369,0.7688083746488343
raw occupancy × detect,0.9001869254869672,0.8165390458301884
raw occupancy × detect,0.9746662845184516,0.8794382684017245
shrunk κ=3 × detect,0.022323746575824296,0.062307075987878074
shrunk κ=3 × detect,0.09653648632666123,0.1799667327087088
shrunk κ=3 × detect,0.16447883859744336,0.26896735611499073
shrunk κ=3 × detect,0.23171550382039194,0.34642624928940824
shrunk κ=3 × detect,0.2987473792003714,0.4179258535583665
shrunk κ=3 × detect,0.36583892991666417,0.48300243468980336
shrunk κ=3 × detect,0.43225092580111896,0.5430581954398648
shrunk κ=3 × detect,0.4989926818245114,0.6008705798712102
shrunk κ=3 × detect,0.5662129505666325,0.6543715127313996
shrunk κ=3 × detect,0.632431586952417,0.7069866238015959
shrunk κ=3 × detect,0.6994342240809931,0.7568128098475895
shrunk κ=3 × detect,0.7660219773291493,0.8054364245472964
shrunk κ=3 × detect,0.8327805673885679,0.8504388548047508
shrunk κ=3 × detect,0.8985473279729156,0.8974140209360314
shrunk κ=3 × detect,0.9540279689018303,0.9399928970393568
shrunk κ=3 + recal,0.037726329711105136,0.04165203895030218
shrunk κ=3 + recal,0.0963389867889516,0.1074577462849979
shrunk κ=3 + recal,0.16568525112828617,0.17882182768518018
shrunk κ=3 + recal,0.23293721835691905,0.24672254748844044
shrunk κ=3 + recal,0.3032267610588914,0.3165951166519358
shrunk κ=3 + recal,0.36499550279902243,0.3784970106083175
shrunk κ=3 + recal,0.4288413927953338,0.44029472030420946
shrunk κ=3 + recal,0.500707117368879,0.5108780795754865
shrunk κ=3 + recal,0.5689135421816264,0.5749645018255246
shrunk κ=3 + recal,0.6318271958282347,0.6355965601204803
shrunk κ=3 + recal,0.6980556499650391,0.7014444986339012
shrunk κ=3 + recal,0.765295501357004,0.7647345227425673
shrunk κ=3 + recal,0.8285239760654651,0.8275943098662629
shrunk κ=3 + recal,0.8929679420799853,0.8897496738672666
shrunk κ=3 + recal,0.9430552252988331,0.9414965198894468
